store_id,store_name,store_number,street_address,city_name,state_iso2_code,postal_code,place_name,state_fips_code,county_fips_code,country_iso3_code,trade_channel,trade_sub_channel,parent_company_store_count,independent_store_indicator,latitude,longitude,lat_long_precision,annual_sales_range,annual_sales,square_feet,full_time_employee_count,checkout_lane_count,owner_id,owner_family_id,owner_name,owner_city,owner_state_iso2_code,owner_state_fips_code,owner_county_fips_code,supplier_id,supplier_family_id,supplier_name,supplier_city_name,supplier_state_iso2_code,supplier_state_fips_code,supplier_county_fips_code,closest_dc_name,closest_dc_distance_miles
937371,10 Box Cost Plus,388,322 N Lynn Riggs Blvd,Claremore,OK,740176818,Claremore,40,131,USA,Grocery,Supermarket-Conventional,101-200 Stores,Chain Store,36.3148,-95.6146,Geocoded to specific address,"$12,000,001 to $16,000,000",14300000,29000,48,7,24039,51800,Harps Food Stores Inc,Springdale,AR,5,143,68802,4110,Assoc Wholesale/Oklahoma Div,Oklahoma City,OK,40,109,FORT WORTH,272
133915,10 Box Cost Plus,108,1101 S Thompson St,Springdale,AR,727646311,Springdale,5,143,USA,Grocery,Supermarket-Conventional,101-200 Stores,Chain Store,36.1737,-94.138,Geocoded to specific address,"$20,000,001 to $25,000,000",22100000,32000,47,6,24039,51800,Harps Food Stores Inc,Springdale,AR,5,143,1113,4110,Assoc Wholesale/Springfield Div,Springfield,MO,29,77,EDWARDSVILLE (GROC),286
7572106,10 Box Cost Plus,192,1716 N Mississippi Ave,Ada,OK,74820,Ada,40,123,USA,Grocery,Supermarket-Conventional,101-200 Stores,Chain Store,34.7897,-96.6699,Geocoded to specific address,"$8,000,001 to $12,000,000",10400000,32000,53,7,24039,51800,Harps Food Stores Inc,Springdale,AR,5,143,68802,4110,Assoc Wholesale/Oklahoma Div,Oklahoma City,OK,40,109,FORT WORTH,153
209782,10 Box Cost Plus,347,8801 Geyer Springs Rd,Little Rock,AR,722095053,Little Rock,5,119,USA,Grocery,Supermarket-Conventional,101-200 Stores,Chain Store,34.6706,-92.3428,Geocoded to specific address,"$16,000,001 to $20,000,000",18200000,26000,32,5,24039,51800,Harps Food Stores Inc,Springdale,AR,5,143,1113,4110,Assoc Wholesale/Springfield Div,Springfield,MO,29,77,HUMBOLDT,211
286430,10 Box Cost Plus,348,380 Harkrider St,Conway,AR,720326607,Conway,5,45,USA,Grocery,Supermarket-Conventional,101-200 Stores,Chain Store,35.0835,-92.4361,Geocoded to specific address,"$16,000,001 to $20,000,000",19500000,46000,124,7,24039,51800,Harps Food Stores Inc,Springdale,AR,5,143,1113,4110,Assoc Wholesale/Springfield Div,Springfield,MO,29,77,HUMBOLDT,207
96250,10 Box Cost Plus,286,301 N Missouri Ave Ste 2,Corning,AR,724221603,Corning,5,21,USA,Grocery,Supermarket-Conventional,101-200 Stores,Chain Store,36.4137,-90.5871,Geocoded to specific address,"$8,000,001 to $12,000,000",10400000,16000,28,4,24039,51800,Harps Food Stores Inc,Springdale,AR,5,143,1113,4110,Assoc Wholesale/Springfield Div,Springfield,MO,29,77,HUMBOLDT,107
482436,10 Box Cost Plus,349,100 S Knoxville Ave,Russellville,AR,728015315,Russellville,5,115,USA,Grocery,Supermarket-Conventional,101-200 Stores,Chain Store,35.2777,-93.1205,Geocoded to specific address,"$25,000,001 to $30,000,000",26000000,35000,102,11,24039,51800,Harps Food Stores Inc,Springdale,AR,5,143,1113,4110,Assoc Wholesale/Springfield Div,Springfield,MO,29,77,HUMBOLDT,242
290107,10 Box Cost Plus,363,705 N Kentucky Ave,West Plains,MO,657752085,West Plains,29,91,USA,Grocery,Supermarket-Conventional,101-200 Stores,Chain Store,36.7329,-91.8758,Geocoded to specific address,"$12,000,001 to $16,000,000",14300000,21000,44,6,24039,51800,Harps Food Stores Inc,Springdale,AR,5,143,1113,4110,Assoc Wholesale/Springfield Div,Springfield,MO,29,77,EDWARDSVILLE (GROC),171
887017,10 Box Cost Plus,204,50 Berry Rd,Bonne Terre,MO,636281373,Bonne Terre,29,187,USA,Grocery,Supermarket-Conventional,101-200 Stores,Chain Store,37.9237,-90.5413,Geocoded to specific address,"$6,000,001 to $8,000,000",7800000,29000,47,7,24039,51800,Harps Food Stores Inc,Springdale,AR,5,143,1113,4110,Assoc Wholesale/Springfield Div,Springfield,MO,29,77,EDWARDSVILLE (GROC),64
266718,10 Box Cost Plus,357,103 N Dixieland Rd,Rogers,AR,727563203,Rogers,5,7,USA,Grocery,Supermarket-Conventional,101-200 Stores,Chain Store,36.3356,-94.1425,Geocoded to specific address,"$16,000,001 to $20,000,000",16900000,35000,111,11,24039,51800,Harps Food Stores Inc,Springdale,AR,5,143,1113,4110,Assoc Wholesale/Springfield Div,Springfield,MO,29,77,EDWARDSVILLE (GROC),279
516254,10 Box Cost Plus,172,3100 Grand Ave,Fort Smith,AR,729046709,Fort Smith,5,131,USA,Grocery,Supermarket-Conventional,101-200 Stores,Chain Store,35.3855,-94.3984,Geocoded to specific address,"$16,000,001 to $20,000,000",19500000,28000,80,7,24039,51800,Harps Food Stores Inc,Springdale,AR,5,143,1113,4110,Assoc Wholesale/Springfield Div,Springfield,MO,29,77,FORT WORTH,253
801883,10 Box Cost Plus,506,600 E Cherokee Ave,Sallisaw,OK,749554800,Sallisaw,40,135,USA,Grocery,Supermarket-Conventional,101-200 Stores,Chain Store,35.4608,-94.7835,Geocoded to specific address,"$4,000,001 to $6,000,000",4680000,34000,27,5,24039,51800,Harps Food Stores Inc,Springdale,AR,5,143,12115,4110,Assoc Wholesale/Nashville Div,Goodlettsville,TN,47,37,FORT WORTH,243
7336814,10 Box Cost Plus,272,1301 Shelby Rd,Poplar Bluff,MO,639019051,Poplar Bluff,29,23,USA,Grocery,Supermarket-Conventional,101-200 Stores,Chain Store,36.7806,-90.4399,Geocoded to specific address,"$12,000,001 to $16,000,000",15600000,24000,86,9,24039,51800,Harps Food Stores Inc,Springdale,AR,5,143,1113,4110,Assoc Wholesale/Springfield Div,Springfield,MO,29,77,HUMBOLDT,113
108105,2 Js Thriftway Market,,902 Frontage Rd,Idalou,TX,793299111,Idalou,48,303,USA,Grocery,Supermarket-Conventional,2-3 Stores,Independent Store,33.6622,-101.6944,Geocoded to specific address,"$2,000,001 to $4,000,000",3640000,11000,15,3,999999,99999,Independent,,,,,325,490,Affiliated Foods Inc,Amarillo,TX,48,381,FORT WORTH,263
432489,3 Rivers Grocery Market,4453,9400 US Highway 60 W,Kevil,KY,420539678,Kevil,21,145,USA,Grocery,Supermarket-Conventional,1 Store,Independent Store,37.0624,-88.8028,Geocoded to specific address,"$4,000,001 to $6,000,000",4160000,13000,18,4,999999,99999,Independent,,,,,12115,4110,Assoc Wholesale/Nashville Div,Goodlettsville,TN,47,37,HUMBOLDT,89
1946041,305 E 181 Deli Grocery,,305 E 181st St,Bronx,NY,104572335,Bronx,36,5,USA,Grocery,Supermarket-Natural/Gourmet Foods,1 Store,Independent Store,40.8541,-73.899,Geocoded to specific address,"$8,000,001 to $12,000,000",9100000,11000,39,5,999999,99999,Independent,,,,,888888,88888,Small Supplier,,,,,WILLIAMSPORT,224
97785,4 Ts Family Market,,801 E Jack Choate Ave,Hennessey,OK,737429655,Hennessey,40,73,USA,Grocery,Supermarket-Conventional,1 Store,Independent Store,36.1167,-97.8911,Geocoded to specific address,"$2,000,001 to $4,000,000",2600000,12000,20,4,999999,99999,Independent,,,,,68802,4110,Assoc Wholesale/Oklahoma Div,Oklahoma City,OK,40,109,FORT WORTH,243
12302,55 Fulton Market,1640,55 Fulton St,New York,NY,100381821,New York,36,61,USA,Grocery,Supermarket-Conventional,1 Store,Chain Store,40.7088,-74.0048,Geocoded to specific address,"$6,000,001 to $8,000,000",6500000,10000,46,12,999999,99999,Independent,,,,,80244,7820,C & S Wholesale/Dist Ctr,Westfield,MA,25,13,WILLIAMSPORT,215
69305,8 Mile Foodland,964,18880 W 8 Mile Rd,Southfield,MI,480754129,Southfield,26,125,USA,Grocery,Supermarket-Conventional,2-3 Stores,Independent Store,42.4443,-83.2283,Geocoded to specific address,"$12,000,001 to $16,000,000",15600000,21000,28,5,999999,99999,Independent,,,,,18751,34780,Spartan Stores/Dist Ctr,Byron Center,MI,26,81,AUSTINBURG,130
